Key,Timestamp
,-1
'h',1744769102.612335
'e',1744769102.8165314
'l',1744769103.055062
'l',1744769103.2226973
'o',1744769103.4181347
Key.space,1744769103.6168487
'h',1744769103.9013684
'i',1744769104.2991176
Key.space,1744769104.5638106
'h',1744769105.0374756
'o',1744769105.1980493
'w',1744769105.3480484
Key.space,1744769105.4511333
'a',1744769105.7038753
'r',1744769105.869864
'e',1744769106.0004623
Key.space,1744769106.1429725
'y',1744769106.394638
'o',1744769106.5790284
'u',1744769106.7030654
Key.space,1744769106.9159505
'a',1744769107.5284185
'i',1744769107.635201
Key.space,1744769107.89981
'm',1744769108.3804884
Key.space,1744769108.6166885
'e',1744769108.837065
'i',1744769109.1193118
'k',1744769109.1299834
'a',1744769109.3867714
'a',1744769109.888383
'k',1744769109.9679034
'a',1744769110.2532787
'a',1744769110.4763553
'l',1744769110.8758516
'f',1744769111.088629
'a',1744769111.401746
'f',1744769111.6254864
'l',1744769111.885065
'a',1744769111.934347
'l',1744769111.9358568
'n',1744769112.1282365
'f',1744769112.2052243
'l',1744769112.2621057
'a',1744769112.4636781
'f',1744769112.7259111
'i',1744769112.994397
'a',1744769113.2242956
'f',1744769113.4416413
'l',1744769113.7277803
'k',1744769113.7527084
'a',1744769113.9559305
'a',1744769114.8215845
's',1744769114.8490121
'a',1744769115.3953898
'a',1744769116.195327
'n',1744769116.4718378
'f',1744769116.6762896
'k',1744769116.8869967
'a',1744769117.0236232
'l',1744769117.3187993
'n',1744769117.7204351
'a',1744769117.8917904
'f',1744769118.2920713
'k',1744769118.5002167
'a',1744769118.6272779
'f',1744769118.7943397
'n',1744769119.0220716
'a',1744769119.1927187
'k',1744769119.5189958
'f',1744769119.7002463
';',1744769120.0112247
'l',1744769120.0251343
'a',1744769120.2264042
'n',1744769120.5345683
'f',1744769120.716944
'k',1744769121.078983
'a',1744769121.3262153
'l',1744769121.6510718
'l',1744769121.8614655
'a',1744769122.1176443
'n',1744769122.460214
Key.space,1744769122.5364144
'f',1744769122.6408515
'k',1744769122.9224513
'a',1744769123.1538846
'l',1744769123.437077
'a',1744769123.7230601
,-1
'a',1744769131.524302
'l',1744769131.7250352
'a',1744769131.9810648
'n',1744769132.2555447
'd',1744769132.4729497
