Key,Timestamp
'd',1746341793.9459028
'd',1746341794.0978706
'e',1746341794.2828045
'd',1746341794.4247916
Key.space,1746341794.5033503
'd',1746341794.610327
'e',1746341794.7900364
'v',1746341794.92324
'e',1746341795.1173522
'l',1746341795.2831624
'o',1746341795.4494288
'p',1746341795.615375
'e',1746341795.6899493
'r',1746341795.845623
Key.space,1746341795.891158
'm',1746341796.038919
'o',1746341796.1505818
'd',1746341796.214129
'e',1746341796.3712883
Key.space,1746341796.7199636
Key.shift,1746341796.839145
'(',1746341796.9162035
Key.caps_lock,1746341797.13189
'n',1746341797.3165216
Key.caps_lock,1746341797.422566
'o',1746341797.562242
't',1746341797.6966724
Key.space,1746341797.8112755
'f',1746341797.981538
'u',1746341798.036562
'l',1746341798.2428522
'l',1746341798.3670511
'y',1746341798.4877694
Key.space,1746341798.539791
