Key,Timestamp
Key.cmd,1744760997.273502
'r',1744760997.3301532
'p',1744760997.4076123
'o',1744760997.4099374
'w',1744760997.41207
'e',1744760997.4137688
'r',1744760997.4158456
's',1744760997.418011
'h',1744760997.4200537
'e',1744760997.4216294
'l',1744760997.4236956
'l',1744760997.425929
Key.space,1744760997.427475
'-',1744760997.4295208
Key.shift,1744760997.4316113
'N',1744760997.4321408
'o',1744760997.4336574
Key.shift,1744760997.4357584
'P',1744760997.4357584
Key.space,1744760997.437827
'-',1744760997.4399078
Key.shift,1744760997.4414926
'E',1744760997.4419968
'p',1744760997.4441102
Key.space,1744760997.4457612
Key.shift,1744760997.4478784
'B',1744760997.4478784
'y',1744760997.4499612
'p',1744760997.451524
'a',1744760997.4537978
's',1744760997.4558594
's',1744760997.4579954
Key.space,1744760997.4590092
'-',1744760997.4617085
Key.shift,1744760997.463888
'W',1744760997.463888
Key.space,1744760997.4659157
Key.shift,1744760997.46757
'H',1744760997.4681172
Key.space,1744760997.4691296
'-',1744760997.4717045
Key.shift,1744760997.4737995
'C',1744760997.4737995
Key.space,1744760997.4758372
'i',1744760997.4778826
'r',1744760997.479981
'm',1744760997.48157
Key.space,1744760997.4837532
'h',1744760997.4852881
't',1744760997.4875717
't',1744760997.4891064
'p',1744760997.4917762
's',1744760997.4938364
Key.shift,1744760997.4959266
':',1744760997.4959266
'/',1744760997.4977455
'/',1744760997.4992793
'r',1744760997.501898
'a',1744760997.503472
'w',1744760997.5058808
'.',1744760997.5079749
'g',1744760997.5095768
'i',1744760997.5118718
't',1744760997.5139725
'h',1744760997.515591
'u',1744760997.517928
'b',1744760997.519492
'u',1744760997.5215452
's',1744760997.5236523
'e',1744760997.5258262
'r',1744760997.5278783
'c',1744760997.5299053
'o',1744760997.5309467
'n',1744760997.5336242
't',1744760997.5358508
'e',1744760997.537918
'n',1744760997.5399425
't',1744760997.5415006
'.',1744760997.5436113
'c',1744760997.5456738
'o',1744760997.547855
'm',1744760997.549892
'/',1744760997.5519686
'b',1744760997.5535016
'e',1744760997.5555446
'i',1744760997.5577087
'g',1744760997.5592418
'e',1744760997.561875
'w',1744760997.5639207
'o',1744760997.5655634
'r',1744760997.5676346
'm',1744760997.5697846
'/',1744760997.571901
Key.shift,1744760997.573931
'B',1744760997.573931
'a',1744760997.5755565
'd',1744760997.5776522
Key.shift,1744760997.5797389
'U',1744760997.5797389
Key.shift,1744760997.581915
'S',1744760997.581915
Key.shift,1744760997.584024
'B',1744760997.584024
'-',1744760997.5855744
Key.shift,1744760997.5876389
'F',1744760997.588143
'i',1744760997.5897934
'l',1744760997.5918791
'e',1744760997.5939121
's',1744760997.5954573
'-',1744760997.5975556
